,deflator inflation - forecast,cpi inflation - forecast,deflator inflation - actual,cpi inflation - actual,nominal interest
2004-10-01,1.7551,2.125,2.9577701486087404,3.3423180592991875,2.23
2005-01-01,1.5686,1.6274,3.04904940699684,3.2068412613575736,2.86
2005-04-01,1.8331,2.1318,2.9715380340313624,2.541026998411855,3.32
2005-07-01,2.1528,2.3,3.245135821035805,4.741833508956805,3.64
2005-10-01,1.9992,2.263,3.282033344992419,3.3385498174230532,4.18
2006-01-01,1.9775,2.25,3.187859299272433,3.4179181771103018,4.45
2006-04-01,2.2313,2.375,3.3508647022346905,4.1817243159525175,4.9
2006-07-01,2.2452,2.4372,3.134032819719157,2.012072434607637,5.22
2006-10-01,2.1876,2.393,2.688942823277074,2.5239777889954462,5.01
2007-01-01,2.1911,2.4295,2.9481330359044433,2.798197295943927,5.06
2007-04-01,2.2606,2.3865,2.725555555555559,2.692765113974227,4.93
2007-07-01,2.3919,2.6283,2.54336408174074,2.8338264299802685,4.96
2007-10-01,2.2698,2.618,2.594347400705743,4.108813392417532,4.1
2008-01-01,2.1312,2.4563,1.977373447010522,3.9749035501344343,2.71
2008-04-01,2.2922,2.4341,1.8138946275404688,4.935966105947864,1.74
2008-07-01,2.2673,2.2285,2.052015968493426,4.953319875136075,2.28
2008-10-01,2.2425,2.4424,1.862269225411728,-0.02222800255385904,1.42
2009-01-01,2.2445,2.3819,1.4553414126314612,-0.4464787676623838,0.44
2009-04-01,2.3917,2.6651,0.7670243280569533,-1.2291746182109153,0.55
2009-07-01,2.2277,2.523,0.12020244622521492,-1.377942862886472,0.48
2009-10-01,1.9411,1.756,0.21248619365696886,2.8141231232083674,0.37
2010-01-01,1.253,1.5551,0.5346355427392702,2.2861714393279886,0.35
2010-04-01,1.4694,1.7069,1.2018723906717765,1.1215605940686268,0.45
2010-07-01,1.4576,1.8022,1.3985719400973151,1.1183122472331775,0.29
2010-10-01,1.4816,1.6329,1.6574469648461765,1.437793022217937,0.23
2011-01-01,1.5317,1.7883,1.905240458095192,2.619241510354109,0.27
2011-04-01,1.6558,1.8775,2.0803816984748646,3.5023181506360412,0.25
2011-07-01,1.5026,1.7209,2.402318190315955,3.812621692818685,0.19
2011-10-01,1.522,1.609,1.9288354707473587,3.062066838419386,0.11
2012-01-01,1.5032,1.7247,2.0206274525917944,2.5828752813320977,0.12
2012-04-01,1.773,2.1304,1.759381155027584,1.653870448297634,0.18
2012-07-01,1.8874,2.0125,1.6582991023885718,1.9497168982819613,0.19
2012-10-01,1.9302,1.9692,2.050367728994873,1.7595049796895523,0.18
2013-01-01,1.7483,2.075,1.840645232748983,1.5187472411246183,0.15
2013-04-01,1.9376,2.1831,1.7199362169426191,1.7157935271568725,0.12
2013-07-01,1.8588,2.1098,1.6721540456948958,1.0947341081747997,0.12
2013-10-01,1.9932,2.1931,1.763981814211113,1.5128383667573297,0.12
2014-01-01,1.9263,2.1,1.7806824136601174,1.6126949139408042,0.12
2014-04-01,1.8684,2.0414,2.06747643648697,2.0589816945944195,0.11
2014-07-01,1.8131,1.8626,2.0322650285557353,1.6840509711232077,0.11
2014-10-01,1.8067,1.984,1.5948885528947132,0.6531213919623191,0.1
2015-01-01,1.8392,1.8881,1.1375337568727995,-0.022031284423873476,0.2
2015-04-01,1.8751,1.9583,1.1127746921033577,0.1795718097550525,0.23
2015-07-01,1.966,2.099,0.9732921703838437,0.008842961634170088,0.3
2015-10-01,1.8654,1.9162,0.795967354776761,0.6387247515364791,0.26
2016-01-01,1.7707,1.8938,0.7511069703111106,0.8916160965521946,0.54
2016-04-01,1.8144,1.9731,0.9161515901296324,1.0792865347959424,0.56
2016-07-01,1.7656,2.0422,0.8953318919124875,1.5486446201652182,0.51
2016-10-01,1.8526,2.0435,1.4364777717448263,2.0507989115119862,0.66
2017-01-01,1.8085,1.9849,2.0306020306020356,2.44119623655914,0.83
2017-04-01,1.8686,2.0574,1.6405392101177751,1.640565809959127,1.04
2017-07-01,1.8892,2.2276,1.86351235261355,2.1805652303711787,1.22
2017-10-01,1.9402,2.2029,2.0500154948491334,2.129930719552253,1.4
2018-01-01,2.1025,2.3596,2.089231487970089,2.3325898348449225,1.8
2018-04-01,2.0102,2.275,2.6683679646825276,2.8485069400359553,2.15
2018-07-01,1.9432,2.2053,2.4966868391054886,2.3551849372045464,2.39
2018-10-01,1.998,2.0907,2.3051440139872925,1.9152155929057058,2.65
2019-01-01,2.0365,2.2117,2.062034943850044,1.879950797536667,2.58
2019-04-01,2.1011,2.2597,1.739935047263108,1.6896439124236329,2.42
2019-07-01,2.2249,2.2589,1.7360326229463707,1.7273300322313334,1.96
2019-10-01,2.2151,2.3658,1.6217674836968676,2.261721394886562,1.61
2020-01-01,2.1038,2.2651,1.6428430510967207,1.5306383296693093,1.53
2020-04-01,2.0131,2.0855,0.6303944646551152,0.7268141963729713,0.18
2020-07-01,1.9787,2.0369,1.2184825404161215,1.4006453724921597,0.15
2020-10-01,1.9405,2.1384,1.2931721220060588,1.278154439466772,0.13
2021-01-01,1.9268,2.1582,2.0344784994618115,2.6583773943021027,0.1
2021-04-01,1.3731,1.859,4.035123472651714,5.341015562734963,0.06
2021-07-01,1.5176,1.7697,4.589596796853046,5.389907375379521,0.08
2021-10-01,1.872,2.067,5.897465025035187,7.096542337630551,0.11
2022-01-01,1.9533,2.1546,,7.912024484898206,0.55
2022-04-01,2.3091,2.3695,,,
2022-07-01,2.2512,2.385,,,
2022-10-01,2.5708,2.6146,,,
2023-01-01,2.8054,2.9512,,,
