country_code,country,gdp,labor,human_capital,physical_capital
THA,Thailand,1191732.875,37.540958404541016,2.8044486045837402,5630091.5
TGO,Togo,18065.919921875,3.171970844268799,1.798118233680725,47682.11328125
TTO,Trinidad and Tobago,39956.8359375,0.6137170195579529,3.0853209495544434,78186.59375
TUN,Tunisia,129698.921875,3.687084436416626,2.6992413997650146,351555.28125
TUR,Turkey,2248225.75,28.08733367919922,2.514292001724243,10235725.0
TZA,U.R. of Tanzania: Mainland,132986.65625,23.670143127441406,1.7155940532684326,397482.65625
UGA,Uganda,92618.59375,15.491875648498535,2.4369723796844482,182602.984375
UKR,Ukraine,578290.5,16.49907684326172,3.289668560028076,7085838.0
ARE,United Arab Emirates,645956.25,5.808834075927734,2.746694803237915,4510359.5
GBR,United Kingdom,2989895.5,32.98249816894531,3.7735960483551025,15302676.0
USA,United States,20595844.0,158.29959106445312,3.7493414878845215,69059096.0
URY,Uruguay,71122.7890625,1.6353788375854492,2.7764058113098145,318946.09375
VEN,Venezuela (Bolivarian Republic of),7160.10693359375,11.6943998336792,2.8934617042541504,217905.109375
VNM,Viet Nam,724123.375,50.39956283569336,2.869997978210449,2009263.625
YEM,Yemen,51828.05859375,5.531877040863037,1.8429887294769287,548553.3125
ZMB,Zambia,56783.71484375,5.225447654724121,2.686845064163208,303724.21875
ZWE,Zimbabwe,40826.5703125,6.831016540527344,2.713407516479492,69588.2421875
