Date,GDP [Bil. of 2017 Dollars],Consumption [Bil. of 2017 Dollars],Investment [Bil. of 2017 Dollars],Government Purchases [Bil. of 2017 Dollars],Exports [Bil. of 2017 Dollars],Imports [Bil. of 2017 Dollars],Net Exports [Bil. of 2017 Dollars],Capital [Bil. of 2017 Dollars],Labor [Index: 2017=100]
1997-01-01,12115.4,7871.2,2205.6,2196.3,1330.5,1488.2,-157.7,12133.0,89.4
1997-04-01,12317.2,7910.8,2299.3,2230.3,1380.0,1503.2,-123.2,12256.8,89.9
1997-07-01,12471.0,8031.8,2339.7,2238.9,1402.2,1541.6,-139.4,12399.6,90.4
1997-10-01,12577.5,8126.3,2359.6,2259.5,1389.4,1557.3,-167.9,12547.5,90.8
1998-01-01,12703.8,8197.5,2453.4,2246.7,1379.8,1573.5,-193.7,12695.1,91.4
1998-04-01,12821.4,8337.1,2424.0,2292.3,1354.1,1586.1,-232.0,12861.0,91.9
1998-07-01,12982.8,8436.2,2479.0,2316.2,1331.2,1579.8,-248.6,13013.6,92.0
1998-10-01,13191.8,8556.4,2550.6,2338.4,1371.6,1625.2,-253.6,13174.7,93.1
1999-01-01,13315.5,8633.1,2621.7,2361.5,1359.3,1660.0,-300.7,13348.0,93.0
1999-04-01,13426.8,8781.9,2605.2,2388.7,1373.7,1722.5,-348.9,13532.9,93.5
1999-07-01,13604.8,8897.9,2659.7,2435.4,1412.0,1800.2,-388.2,13707.2,94.1
1999-10-01,13828.0,9032.8,2728.0,2488.6,1440.0,1861.4,-421.4,13889.0,94.5
2000-01-01,13878.2,9182.9,2706.6,2483.5,1460.9,1955.7,-494.8,14081.5,94.9
2000-04-01,14130.9,9255.3,2862.4,2513.1,1507.7,2007.5,-499.9,14261.8,95.2
2000-07-01,14145.3,9349.6,2824.0,2511.6,1542.3,2082.2,-540.0,14474.7,95.2
2000-10-01,14229.8,9434.0,2818.8,2537.9,1517.9,2078.8,-560.9,14670.5,94.8
2001-01-01,14183.1,9475.9,2670.4,2582.2,1485.8,2031.2,-545.4,14858.1,94.8
2001-04-01,14271.7,9482.5,2656.7,2622.6,1424.6,1914.8,-490.2,15002.0,93.9
2001-07-01,14214.5,9483.0,2608.6,2620.0,1339.8,1836.9,-497.1,15137.4,92.7
2001-10-01,14253.5,9609.7,2473.6,2664.4,1274.9,1769.2,-494.3,15256.0,91.7
2002-01-01,14372.8,9620.2,2549.3,2719.0,1291.7,1807.4,-515.7,15336.7,90.9
2002-04-01,14460.9,9706.5,2567.8,2755.4,1333.7,1902.6,-568.8,15433.4,91.1
2002-07-01,14519.6,9778.1,2555.4,2777.6,1342.4,1934.0,-591.6,15531.4,90.8
2002-10-01,14537.5,9821.3,2553.0,2815.4,1318.3,1970.5,-652.2,15622.8,91.0
2003-01-01,14614.2,9896.8,2563.7,2840.7,1313.4,2000.3,-687.0,15710.4,90.5
2003-04-01,14743.6,9985.0,2570.6,2865.6,1313.0,1990.5,-677.5,15797.6,90.2
2003-07-01,14988.8,10134.8,2649.1,2877.4,1344.2,2016.7,-672.5,15883.4,90.3
2003-10-01,15162.8,10192.6,2745.2,2899.5,1406.1,2080.6,-674.5,15985.8,90.8
2004-01-01,15248.7,10293.5,2754.8,2924.3,1449.8,2173.7,-723.8,16108.6,91.2
2004-04-01,15366.9,10335.8,2870.5,2944.1,1484.5,2268.0,-783.5,16229.6,91.2
2004-07-01,15512.7,10442.4,2922.5,2970.6,1487.8,2310.6,-822.8,16375.1,91.8
2004-10-01,15671.0,10568.8,2989.9,2988.3,1528.0,2404.1,-876.1,16528.6,92.3
2005-01-01,15844.6,10613.0,3085.3,3010.9,1561.7,2426.3,-864.6,16693.5,92.5
2005-04-01,15922.8,10721.2,3051.4,3021.6,1595.5,2466.9,-871.4,16876.4,93.0
2005-07-01,16047.6,10828.2,3090.5,3045.8,1590.2,2507.1,-916.9,17044.4,93.2
2005-10-01,16136.7,10845.6,3203.6,3062.1,1635.9,2610.5,-974.7,17216.3,93.9
2006-01-01,16353.8,10943.5,3258.6,3102.7,1700.4,2651.4,-951.0,17410.3,94.9
2006-04-01,16396.2,11000.7,3229.8,3112.2,1740.3,2686.9,-946.6,17611.3,95.1
2006-07-01,16420.6,11073.7,3207.6,3113.9,1746.7,2721.4,-974.7,17798.0,95.4
2006-10-01,16561.9,11121.1,3156.1,3155.0,1806.7,2676.9,-870.2,17972.6,95.9
2007-01-01,16611.7,11185.5,3113.4,3176.7,1844.0,2707.8,-863.9,18128.1,95.9
2007-04-01,16713.4,11232.0,3132.4,3214.5,1883.2,2748.7,-865.5,18267.5,96.3
2007-07-01,16809.5,11309.0,3100.1,3241.8,1945.6,2786.9,-841.3,18406.7,96.0
2007-10-01,16915.2,11422.9,3037.7,3293.4,2012.5,2851.3,-838.8,18533.0,95.8
2008-01-01,16843.1,11457.9,2936.2,3332.3,2076.8,2960.1,-883.3,18639.2,95.4
2008-04-01,16943.3,11545.6,2895.7,3386.9,2171.6,3056.5,-884.9,18716.2,94.9
2008-07-01,16854.3,11492.3,2826.1,3426.5,2174.5,3065.2,-890.7,18780.4,93.8
2008-10-01,16485.4,11180.0,2604.5,3410.1,1918.8,2628.0,-709.2,18825.0,91.4
2009-01-01,16298.2,11085.0,2275.6,3413.1,1707.4,2182.9,-475.5,18812.6,89.0
2009-04-01,16269.1,11092.7,2108.3,3473.5,1720.8,2126.2,-405.4,18718.4,86.8
2009-07-01,16326.2,11230.8,2080.7,3493.8,1801.9,2281.0,-479.1,18585.7,85.7
2009-10-01,16502.7,11269.3,2251.3,3515.2,1918.8,2451.8,-533.1,18450.8,85.7
2010-01-01,16582.7,11345.8,2289.1,3519.7,1976.6,2548.5,-571.9,18363.3,86.1
2010-04-01,16743.1,11409.4,2401.7,3538.3,2033.9,2640.2,-606.4,18288.3,86.7
2010-07-01,16872.2,11478.1,2492.1,3519.3,2091.8,2709.1,-617.3,18244.1,87.2
2010-10-01,16960.8,11555.3,2479.9,3505.6,2184.8,2764.9,-580.1,18224.1,87.6
2011-01-01,16920.7,11637.5,2431.5,3478.4,2249.0,2875.6,-626.6,18201.7,87.7
2011-04-01,17035.2,11686.7,2515.6,3469.2,2317.1,2953.4,-636.3,18168.0,88.6
2011-07-01,17031.3,11706.0,2528.2,3414.3,2347.5,2964.8,-617.3,18156.5,88.8
2011-10-01,17222.7,11751.0,2722.3,3403.6,2337.5,2991.7,-654.2,18148.6,89.7
2012-01-01,17367.0,11844.7,2775.2,3398.0,2366.9,3017.8,-650.9,18189.5,90.3
2012-04-01,17444.4,11845.2,2838.2,3369.4,2384.7,2993.1,-608.4,18242.2,90.5
2012-07-01,17469.6,11838.7,2830.4,3360.3,2384.7,2944.7,-559.9,18308.7,91.0
2012-10-01,17489.9,11893.0,2810.1,3336.3,2383.2,2932.7,-549.5,18371.0,91.5
2013-01-01,17662.4,11964.7,2913.7,3313.7,2393.4,2923.1,-529.8,18426.0,92.1
2013-04-01,17709.6,11979.2,2943.3,3314.7,2394.0,2921.6,-527.6,18505.0,92.5
2013-07-01,17860.4,12018.4,3047.0,3302.8,2407.3,2915.2,-507.8,18588.5,92.9
2013-10-01,18016.1,12104.9,3074.9,3291.0,2461.8,2916.7,-454.8,18695.1,93.1
2014-01-01,17954.0,12158.1,3051.3,3277.1,2446.7,2979.2,-532.5,18804.9,93.5
2014-04-01,18185.9,12260.4,3175.6,3274.5,2486.4,3011.1,-524.7,18904.9,94.5
2014-07-01,18406.9,12364.6,3248.4,3299.8,2480.4,2986.3,-505.9,19032.4,95.2
2014-10-01,18500.0,12478.1,3276.1,3293.9,2454.2,3002.4,-548.2,19173.7,96.2
2015-01-01,18666.6,12524.4,3391.9,3294.4,2375.8,2919.8,-544.0,19316.9,96.7
2015-04-01,18782.2,12601.2,3381.6,3323.0,2363.7,2887.2,-523.5,19484.0,97.0
2015-07-01,18857.4,12689.2,3385.5,3334.1,2316.7,2868.1,-551.4,19642.6,97.1
2015-10-01,18892.1,12731.3,3358.1,3338.9,2277.4,2813.6,-536.2,19796.7,97.8
2016-01-01,19001.7,12844.8,3327.6,3354.1,2238.0,2762.8,-524.8,19938.4,98.0
2016-04-01,19062.6,12902.7,3307.3,3351.3,2263.6,2762.2,-498.5,20067.6,98.3
2016-07-01,19197.9,13003.9,3314.3,3368.7,2306.7,2795.7,-489.0,20187.0,98.8
2016-10-01,19304.4,13067.6,3398.8,3374.8,2293.9,2830.7,-536.8,20304.1,98.8
2017-01-01,19398.4,13177.7,3383.7,3373.7,2354.1,2890.8,-536.7,20438.1,99.2
2017-04-01,19506.9,13235.1,3445.0,3382.3,2357.9,2913.4,-555.4,20563.7,99.8
2017-07-01,19660.7,13303.5,3494.5,3393.4,2380.7,2911.3,-530.6,20700.1,100.1
2017-10-01,19882.4,13446.8,3546.9,3439.4,2460.0,3010.6,-550.6,20844.1,100.7
